date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:13:25	7818/7818	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:00%20GMT	https://sacred-texts.com/isl/bkt/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/bkt/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:26	6402/6402	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:12%20GMT	https://sacred-texts.com/isl/hanged/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/hanged/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:27	8651/8651	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:11%20GMT	https://sacred-texts.com/isl/cii/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/cii/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:28	18484/18484	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:12%20GMT	https://sacred-texts.com/isl/gbar/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/gbar/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:29	7969/7969	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:13%20GMT	https://sacred-texts.com/isl/isma/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/isma/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:30	6614/6614	---M--	200	added ('OK')	image/jpeg	etag:%229b8976f593ee82d5bda7e83d58948888%22	https://sacred-texts.com/cdshop/img/t_USB-1.jpg	C:/DK-SITES/islam/sacred-texts.com/cdshop/img/t_USB-1.jpg	(from https://sacred-texts.com/isl/index.htm)
16:13:30	1607/1607	---M--	200	added ('OK')	image/gif	date:Thu,%2003%20Oct%202019%2012:00:00%20GMT	https://www.google.com/logos/Logo_25wht.gif	C:/DK-SITES/islam/www.google.com/logos/Logo_25wht.gif	(from https://sacred-texts.com/isl/index.htm)
16:13:31	46195/46195	---M--	200	added ('OK')	image/jpeg	etag:%22c78d86ff3708101b9cc393384afd7050%22	https://www.sacred-texts.com/cdshop/img/istadvd.jpg	C:/DK-SITES/islam/www.sacred-texts.com/cdshop/img/istadvd.jpg	(from https://sacred-texts.com/isl/index.htm)
16:13:31	31081/31081	---M--	200	added ('OK')	image/jpeg	etag:%22d1114cd198fcd989edf04f711d06d57a%22	https://sacred-texts.com/collage.jpg	C:/DK-SITES/islam/sacred-texts.com/collage.jpg	(from https://sacred-texts.com/isl/index.htm)
16:13:33	16368/16368	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:15%20GMT	https://sacred-texts.com/isl/pro/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/pro/index.html	(from https://sacred-texts.com/isl/shi.htm)
